year,drug,intent,nature,sex,jurisdiction,age_group,n,pop,rate_ht,rate_ht_lcl,rate_ht_ucl,rate_m,rate_m_lcl,rate_m_ucl
2009,Other and unspecified narcotics,All,Underlying,Female,AUS,15-64,45,7293343,0.6170010103734324,0.45004474092786745,0.8255958958638567,6.170010103734324,4.500447409278674,8.255958958638567
2010,Other and unspecified narcotics,All,Underlying,Female,AUS,15-64,26,7399746,0.35136341166304896,0.22952224088822584,0.5148289694415222,3.51363411663049,2.2952224088822586,5.148289694415222
2011,Other and unspecified narcotics,All,Underlying,Female,AUS,15-64,45,7492143,0.6006292191700024,0.4381030448742203,0.803689151145058,6.006292191700025,4.381030448742203,8.03689151145058
2012,Other and unspecified narcotics,All,Underlying,Female,AUS,15-64,25,7600965,0.3289056060644931,0.21285039072290407,0.4855295837447495,3.289056060644931,2.1285039072290406,4.855295837447495
2013,Other and unspecified narcotics,All,Underlying,Female,AUS,15-64,15,7715158,0.1944224603047663,0.108816766450005,0.32067029134399017,1.9442246030476629,1.08816766450005,3.2067029134399014
2014,Other and unspecified narcotics,All,Underlying,Female,AUS,15-64,11,7820680,0.14065273096457084,0.0702132356018227,0.25166623047222414,1.4065273096457085,0.702132356018227,2.5166623047222414
2015,Other and unspecified narcotics,All,Underlying,Female,AUS,15-64,5,7920702,0.06312571789722678,0.020496739595786927,0.14731424020373962,0.6312571789722677,0.20496739595786928,1.4731424020373962
2016,Other and unspecified narcotics,All,Underlying,Female,AUS,15-64,2,8016946,0.024947155687465025,0.0030211459478377157,0.09011777052832179,0.24947155687465025,0.030211459478377157,0.901177705283218
1997,Heroin,Intentional,Underlying,All,AUS,15-64,15,12277629,0.1221734261558156,0.06837953372030445,0.20150649312052973,1.221734261558156,0.6837953372030445,2.0150649312052975
1998,Heroin,Intentional,Underlying,All,AUS,15-64,17,12412559,0.13695805997780153,0.0797831059326085,0.2192831217180359,1.3695805997780153,0.797831059326085,2.192831217180359
1999,Heroin,Intentional,Underlying,All,AUS,15-64,19,12560586,0.151266827837491,0.09107273452766361,0.23622189855187506,1.5126682783749101,0.9107273452766361,2.3622189855187505
2e3,Heroin,Intentional,Underlying,All,AUS,15-64,24,12721200,0.18866144703329876,0.12087898769130802,0.28071327957562825,1.8866144703329877,1.2087898769130803,2.8071327957562824
2001,Heroin,Intentional,Underlying,All,AUS,15-64,7,12895398,0.05428293101151279,0.021824510832649593,0.11184358552271535,0.5428293101151279,0.21824510832649593,1.1184358552271536
2002,Heroin,Intentional,Underlying,All,AUS,15-64,5,13064935,0.03827037792380904,0.012426281976131432,0.08931021830650063,0.3827037792380904,0.12426281976131431,0.8931021830650063
2003,Heroin,Intentional,Underlying,All,AUS,15-64,6,13239741,0.04531810705360475,0.01663092277147408,0.09863847416821493,0.4531810705360475,0.16630922771474077,0.9863847416821493
2004,Heroin,Intentional,Underlying,All,AUS,15-64,5,13399641,0.03731443252845356,0.012115889247318544,0.08707936257473171,0.3731443252845356,0.12115889247318544,0.8707936257473171
2005,Heroin,Intentional,Underlying,All,AUS,15-64,7,13581574,0.05154041792210535,0.020721880493551625,0.1061929603345277,0.5154041792210535,0.20721880493551625,1.061929603345277
2006,Heroin,Intentional,Underlying,All,AUS,15-64,1,13784515,0.007254517115763594,1.8346359516587739e-4,0.04041958159233068,0.07254517115763594,0.0018346359516587737,0.4041958159233068
2007,Heroin,Intentional,Underlying,All,AUS,15-64,6,14044151,0.042722411628869555,0.01567834966209912,0.09298873606687624,0.42722411628869555,0.1567834966209912,0.9298873606687624
2008,Heroin,Intentional,Underlying,All,AUS,15-64,7,14343136,0.04880383202111449,0.019621633186935404,0.10055454741992634,0.4880383202111449,0.19621633186935405,1.0055454741992633
2009,Heroin,Intentional,Underlying,All,AUS,15-64,11,14643047,0.07512097721191498,0.03750006726103268,0.13441198784170494,0.7512097721191497,0.37500067261032677,1.3441198784170494
2010,Heroin,Intentional,Underlying,All,AUS,15-64,8,14846377,0.053885200409500573,0.02326379979112784,0.1061753254764673,0.5388520040950058,0.23263799791127837,1.0617532547646729
2011,Heroin,Intentional,Underlying,All,AUS,15-64,18,15018500,0.1198521823084862,0.07103185116374258,0.18941821793186744,1.198521823084862,0.7103185116374258,1.8941821793186744
2012,Heroin,Intentional,Underlying,All,AUS,15-64,7,15224030,0.045979940922344475,0.018486284731593926,0.09473625242872305,0.45979940922344475,0.18486284731593927,0.9473625242872306
2013,Heroin,Intentional,Underlying,All,AUS,15-64,6,15435760,0.038870777985664455,0.014264870021645776,0.08460534827066217,0.38870777985664456,0.14264870021645776,0.8460534827066217
2014,Heroin,Intentional,Underlying,All,AUS,15-64,13,15618521,0.08323451369050885,0.044318867756481695,0.1423334517407682,0.8323451369050885,0.44318867756481695,1.423334517407682
2015,Heroin,Intentional,Underlying,All,AUS,15-64,14,15791656,0.08865441344466976,0.04846821508812024,0.14874701053162795,0.8865441344466976,0.4846821508812024,1.4874701053162795
2016,Heroin,Intentional,Underlying,All,AUS,15-64,14,15964383,0.08769521502960684,0.047943812147679274,0.14713763891431605,0.8769521502960684,0.47943812147679277,1.4713763891431606
1997,Heroin,Undetermined,Underlying,All,AUS,15-64,8,12277629,0.06515916061643498,0.028131094542081788,0.12838952130915002,0.6515916061643499,0.28131094542081786,1.2838952130915002
