year,sex,age,location,n
1985,male,17,NSW,43136
1986,male,17,NSW,44842
1987,male,17,NSW,46207
1988,male,17,NSW,50246
1989,male,17,NSW,50507
1990,male,17,NSW,48051
1991,male,17,NSW,46561
1992,male,17,NSW,45144
1993,male,17,NSW,43100
1994,male,17,NSW,42679
1995,male,17,NSW,42275
1996,male,17,NSW,42880
1997,male,17,NSW,42930
1998,male,17,NSW,43652
1999,male,17,NSW,43956
2e3,male,17,NSW,44533
2001,male,17,NSW,45000
2002,male,17,NSW,45924
2003,male,17,NSW,45897
2004,male,17,NSW,45118
2005,male,17,NSW,45267
2006,male,17,NSW,46027
2007,male,17,NSW,47743
2008,male,17,NSW,47691
2009,male,17,NSW,47549
2010,male,17,NSW,47227
2011,male,17,NSW,47327
2012,male,17,NSW,47729
2013,male,17,NSW,46786
2014,male,17,NSW,46783
2015,male,17,NSW,46729
2016,male,17,NSW,47071
2017,male,17,NSW,47944
1971,male,18,NSW,40787
1972,male,18,NSW,40972
1973,male,18,NSW,40871
1974,male,18,NSW,41995
1975,male,18,NSW,42055
1976,male,18,NSW,43072
1977,male,18,NSW,44780
1978,male,18,NSW,45153
1979,male,18,NSW,46949
1980,male,18,NSW,47111
1981,male,18,NSW,46620
1982,male,18,NSW,45945
1983,male,18,NSW,43877
1984,male,18,NSW,43314
1985,male,18,NSW,43079
1986,male,18,NSW,43082
1987,male,18,NSW,45273
1988,male,18,NSW,46718
1989,male,18,NSW,50441
1990,male,18,NSW,50583
1991,male,18,NSW,48157
1992,male,18,NSW,46405
1993,male,18,NSW,44932
1994,male,18,NSW,43074
1995,male,18,NSW,42551
1996,male,18,NSW,42360
1997,male,18,NSW,42441
1998,male,18,NSW,42790
1999,male,18,NSW,43714
2e3,male,18,NSW,44196
2001,male,18,NSW,45348
2002,male,18,NSW,45279
2003,male,18,NSW,46251
2004,male,18,NSW,45920
2005,male,18,NSW,45228
2006,male,18,NSW,45371
2007,male,18,NSW,47166
2008,male,18,NSW,49280
2009,male,18,NSW,48540
2010,male,18,NSW,47952
2011,male,18,NSW,47870
2012,male,18,NSW,48038
2013,male,18,NSW,48679
2014,male,18,NSW,48065
2015,male,18,NSW,48058
2016,male,18,NSW,48141
2017,male,18,NSW,48934
1971,male,19,NSW,40106
1972,male,19,NSW,41474
1973,male,19,NSW,41197
1974,male,19,NSW,41262
1975,male,19,NSW,41900
1976,male,19,NSW,41739
1977,male,19,NSW,43618
1978,male,19,NSW,44832
1979,male,19,NSW,45662
1980,male,19,NSW,46972
1981,male,19,NSW,47451
1982,male,19,NSW,47078
1983,male,19,NSW,46211
1984,male,19,NSW,44164
1985,male,19,NSW,43579
1986,male,19,NSW,42941
1987,male,19,NSW,43709
1988,male,19,NSW,45547
1989,male,19,NSW,46985
1990,male,19,NSW,50599
1991,male,19,NSW,50666
1992,male,19,NSW,48053
1993,male,19,NSW,46069
1994,male,19,NSW,44834
1995,male,19,NSW,43242
1996,male,19,NSW,42709
1997,male,19,NSW,42342
1998,male,19,NSW,42485
1999,male,19,NSW,43145
2e3,male,19,NSW,44234
2001,male,19,NSW,45028
2002,male,19,NSW,45623
2003,male,19,NSW,45514
2004,male,19,NSW,46248
2005,male,19,NSW,46039
2006,male,19,NSW,45515
2007,male,19,NSW,46680
2008,male,19,NSW,48832
2009,male,19,NSW,50763
2010,male,19,NSW,49338
2011,male,19,NSW,48425
2012,male,19,NSW,48945
2013,male,19,NSW,49447
2014,male,19,NSW,50813
2015,male,19,NSW,50324
2016,male,19,NSW,50144
2017,male,19,NSW,50929
1971,male,20,NSW,41296
1972,male,20,NSW,40877
1973,male,20,NSW,41755
1974,male,20,NSW,41293
1975,male,20,NSW,41191
1976,male,20,NSW,41534
1977,male,20,NSW,42300
1978,male,20,NSW,44036
1979,male,20,NSW,45199
1980,male,20,NSW,46007
1981,male,20,NSW,47159
1982,male,20,NSW,47985
1983,male,20,NSW,47129
1984,male,20,NSW,46263
1985,male,20,NSW,44338
1986,male,20,NSW,43590
1987,male,20,NSW,43645
1988,male,20,NSW,44306
1989,male,20,NSW,45604
1990,male,20,NSW,47147
1991,male,20,NSW,50782
1992,male,20,NSW,50567
1993,male,20,NSW,47842
1994,male,20,NSW,46038
1995,male,20,NSW,45061
1996,male,20,NSW,43634
1997,male,20,NSW,42753
1998,male,20,NSW,42240
1999,male,20,NSW,42522
2e3,male,20,NSW,43469
2001,male,20,NSW,44842
2002,male,20,NSW,45280
2003,male,20,NSW,45849
2004,male,20,NSW,45646
2005,male,20,NSW,46544
2006,male,20,NSW,46434
2007,male,20,NSW,46512
2008,male,20,NSW,48400
2009,male,20,NSW,50354
2010,male,20,NSW,51292
2011,male,20,NSW,49643
2012,male,20,NSW,49433
2013,male,20,NSW,49962
2014,male,20,NSW,51053
2015,male,20,NSW,52274
2016,male,20,NSW,51592
2017,male,20,NSW,51925
1971,male,21,NSW,41949
1972,male,21,NSW,41738
1973,male,21,NSW,41144
1974,male,21,NSW,41933
1975,male,21,NSW,40674
1976,male,21,NSW,40848
1977,male,21,NSW,41829
1978,male,21,NSW,42668
1979,male,21,NSW,44552
