nature,intent,drug,sex,state,age_group,n,year,pop
Underlying,Accidental,Amphetamines,All,AUS,15-24,2,2012,3092512
Underlying,Accidental,Amphetamines,All,AUS,25-34,9,2012,3290393
Underlying,Accidental,Amphetamines,All,AUS,35-44,6,2012,3192465
Underlying,Accidental,Amphetamines,All,AUS,45-54,11,2012,3058142
Underlying,Accidental,Amphetamines,All,AUS,55-64,2,2012,2590518
Underlying,Accidental,Amphetamines,All,AUS,65-74,0,2012,1776418
Underlying,Accidental,Amphetamines,All,AUS,75-84,0,2012,1017201
Underlying,Accidental,Amphetamines,All,AUS,15-54,27,2012,12633512
Underlying,Accidental,Amphetamines,All,AUS,15-64,28,2012,15224030
Underlying,Accidental,Amphetamines,All,AUS,Allages,28,2012,22742475
Underlying,Accidental,Amphetamines,All,AUS,15-24,7,2013,3118366
Underlying,Accidental,Amphetamines,All,AUS,25-34,12,2013,3388170
Underlying,Accidental,Amphetamines,All,AUS,35-44,14,2013,3214188
Underlying,Accidental,Amphetamines,All,AUS,45-54,11,2013,3080735
Underlying,Accidental,Amphetamines,All,AUS,55-64,2,2013,2634301
Underlying,Accidental,Amphetamines,All,AUS,65-74,0,2013,1859229
Underlying,Accidental,Amphetamines,All,AUS,75-84,0,2013,1034415
Underlying,Accidental,Amphetamines,All,AUS,15-54,44,2013,12801459
Underlying,Accidental,Amphetamines,All,AUS,15-64,45,2013,15435760
Underlying,Accidental,Amphetamines,All,AUS,Allages,45,2013,23145901
Underlying,Accidental,Amphetamines,All,AUS,15-24,5,2014,3141184
Underlying,Accidental,Amphetamines,All,AUS,25-34,20,2014,3467570
Underlying,Accidental,Amphetamines,All,AUS,35-44,23,2014,3221600
Underlying,Accidental,Amphetamines,All,AUS,45-54,11,2014,3104578
Underlying,Accidental,Amphetamines,All,AUS,55-64,0,2014,2683589
Underlying,Accidental,Amphetamines,All,AUS,65-74,0,2014,1933242
Underlying,Accidental,Amphetamines,All,AUS,75-84,0,2014,1056839
Underlying,Accidental,Amphetamines,All,AUS,15-54,59,2014,12934932
Underlying,Accidental,Amphetamines,All,AUS,15-64,59,2014,15618521
Underlying,Accidental,Amphetamines,All,AUS,Allages,59,2014,23504138
Underlying,Accidental,Amphetamines,All,AUS,15-24,8,2015,3154845
Underlying,Accidental,Amphetamines,All,AUS,25-34,19,2015,3547607
Underlying,Accidental,Amphetamines,All,AUS,35-44,32,2015,3231643
Underlying,Accidental,Amphetamines,All,AUS,45-54,18,2015,3125999
Underlying,Accidental,Amphetamines,All,AUS,55-64,6,2015,2731562
Underlying,Accidental,Amphetamines,All,AUS,65-74,0,2015,2007971
Underlying,Accidental,Amphetamines,All,AUS,75-84,0,2015,1080275
Underlying,Accidental,Amphetamines,All,AUS,15-54,77,2015,13060094
Underlying,Accidental,Amphetamines,All,AUS,15-64,83,2015,15791656
Underlying,Accidental,Amphetamines,All,AUS,Allages,83,2015,23850784
Underlying,Accidental,Amphetamines,All,AUS,15-24,7,2016,3172488
Underlying,Accidental,Amphetamines,All,AUS,25-34,20,2016,3614747
Underlying,Accidental,Amphetamines,All,AUS,35-44,31,2016,3236348
Underlying,Accidental,Amphetamines,All,AUS,45-54,31,2016,3157138
Underlying,Accidental,Amphetamines,All,AUS,55-64,9,2016,2783662
Underlying,Accidental,Amphetamines,All,AUS,65-74,4,2016,2084469
Underlying,Accidental,Amphetamines,All,AUS,75-84,0,2016,1106311
Underlying,Accidental,Amphetamines,All,AUS,15-54,89,2016,13180721
Underlying,Accidental,Amphetamines,All,AUS,15-64,98,2016,15964383
Underlying,Accidental,Amphetamines,All,AUS,Allages,100,2016,24210809
All,Accidental,Amphetamines,All,AUS,15-24,6,1997,2619372
All,Accidental,Amphetamines,All,AUS,25-34,13,1997,2863015
All,Accidental,Amphetamines,All,AUS,35-44,5,1997,2845815
All,Accidental,Amphetamines,All,AUS,45-54,0,1997,2376709
