nature,intent,drug,sex,state,age_group,n,year,pop,rate_ht,rate_ht_lcl,rate_ht_ucl,rate_m,rate_m_lcl,rate_m_ucl
Underlying,All,Opioids,Male,AUS,15-64,931,1999,6305878,14.764002728882481,13.830742027678342,15.743668879946375,147.6400272888248,138.30742027678343,157.43668879946375
Underlying,All,Opioids,Male,AUS,Allages,944,1999,9340109,10.10694843068748,9.472411938471119,10.772812734639663,101.0694843068748,94.72411938471119,107.72812734639663
Underlying,All,Opioids,Male,AUS,15-64,804,2e3,6380886,12.600131078975553,11.744114506778741,13.50204548637036,126.00131078975552,117.44114506778742,135.0204548637036
Underlying,All,Opioids,Male,AUS,Allages,813,2e3,9443465,8.609128111344724,8.027438285849561,9.221828630931853,86.09128111344724,80.27438285849561,92.21828630931853
Underlying,All,Opioids,Male,AUS,15-64,353,2001,6461886,5.462801417419001,4.907726687109085,6.0634670470291265,54.628014174190014,49.077266871090856,60.63467047029127
Underlying,All,Opioids,Male,AUS,Allages,364,2001,9561826,3.8068042652104315,3.4257289809685982,4.218681976968422,38.06804265210432,34.257289809685986,42.18681976968422
Underlying,All,Opioids,Male,AUS,15-64,343,2002,6547837,5.238371083458553,4.698607643379284,5.8231385421688575,52.38371083458553,46.98607643379284,58.23138542168857
Underlying,All,Opioids,Male,AUS,Allages,349,2002,9675483,3.6070550689820857,3.2385048351507275,4.006056658732201,36.070550689820855,32.38504835150727,40.060566587322015
Underlying,All,Opioids,Male,AUS,15-64,322,2003,6632518,4.854868090821616,4.339019029865655,5.415171742555164,48.548680908216156,43.39019029865655,54.15171742555164
Underlying,All,Opioids,Male,AUS,Allages,325,2003,9787597,3.3205290328157155,2.969295891568531,3.70188385253374,33.205290328157155,29.69295891568531,37.0188385253374
Underlying,All,Opioids,Male,AUS,15-64,327,2004,6712739,4.8713349349646995,4.357597275128635,5.428989910394784,48.713349349647,43.57597275128634,54.28989910394784
Underlying,All,Opioids,Male,AUS,Allages,338,2004,9895951,3.415538334819968,3.0610779858633337,3.799780192776313,34.15538334819968,30.610779858633336,37.99780192776313
Underlying,All,Opioids,Male,AUS,15-64,349,2005,6803166,5.129964490062421,4.605811246986868,5.697425742455824,51.29964490062421,46.05811246986868,56.97425742455824
Underlying,All,Opioids,Male,AUS,Allages,359,2005,10019633,3.5829655637087705,3.2218746670205634,3.9734549914293895,35.829655637087704,32.21874667020563,39.73454991429389
Underlying,All,Opioids,Male,AUS,15-64,281,2006,6905635,4.069140636596056,3.607230828997962,4.573801596913761,40.69140636596056,36.072308289979624,45.73801596913761
Underlying,All,Opioids,Male,AUS,Allages,293,2006,10159424,2.8840217713130194,2.563213966924288,3.233877021619436,28.840217713130194,25.63213966924288,32.33877021619436
Underlying,All,Opioids,Male,AUS,15-64,353,2007,7039297,5.014705303668818,4.505161576682527,5.56610025442297,50.147053036688185,45.051615766825265,55.6610025442297
Underlying,All,Opioids,Male,AUS,Allages,364,2007,10353636,3.515673141300312,3.1637411667919406,3.896051881011468,35.15673141300312,31.637411667919405,38.96051881011468
Underlying,All,Opioids,Male,AUS,15-64,496,2008,7194310,6.8943373304736655,6.300871927508386,7.528640777216831,68.94337330473665,63.00871927508386,75.2864077721683
Underlying,All,Opioids,Male,AUS,Allages,511,2008,10572045,4.833501938366702,4.423449115997885,5.271339135651261,48.33501938366702,44.234491159978845,52.71339135651261
Underlying,All,Opioids,Male,AUS,15-64,558,2009,7349704,7.592142486282441,6.975192366801105,8.24903376644105,75.92142486282441,69.75192366801105,82.4903376644105
Underlying,All,Opioids,Male,AUS,Allages,571,2009,10800797,5.286646902075837,4.861860473837241,5.738607784746313,52.86646902075837,48.618604738372404,57.386077847463135
Underlying,All,Opioids,Male,AUS,15-64,583,2010,7446631,7.829043764891801,7.2063468030033695,8.491149856754479,78.29043764891802,72.06346803003369,84.91149856754478
Underlying,All,Opioids,Male,AUS,Allages,595,2010,10967831,5.424955946166566,4.997755942196106,5.878909127444074,54.24955946166566,49.97755942196106,58.78909127444074
Underlying,All,Opioids,Male,AUS,15-64,591,2011,7526357,7.852404556414212,7.232003755779883,8.511793383665308,78.52404556414213,72.32003755779883,85.11793383665308
Underlying,All,Opioids,Male,AUS,Allages,609,2011,11118234,5.477488601157342,5.051037442464816,5.930326893081306,54.774886011573415,50.51037442464816,59.30326893081306
Underlying,All,Opioids,Male,AUS,15-64,542,2012,7623065,7.1100010297695215,6.523946792547834,7.734571600124004,71.10001029769522,65.23946792547834,77.34571600124004
Underlying,All,Opioids,Male,AUS,Allages,561,2012,11316375,4.957417901050469,4.55562545519066,5.3851499425292335,49.57417901050469,45.556254551906605,53.85149942529233
Underlying,All,Opioids,Male,AUS,15-64,553,2013,7720602,7.162653896678005,6.578035245556061,7.785297404292616,71.62653896678006,65.7803524555606,77.85297404292616
Underlying,All,Opioids,Male,AUS,Allages,573,2013,11512700,4.977112232577936,4.577881523127836,5.401836822790041,49.77112232577936,45.77881523127836,54.01836822790041
Underlying,All,Opioids,Male,AUS,15-64,683,2014,7797841,8.758834656926192,8.114186708577016,9.441077213235754,87.58834656926192,81.14186708577016,94.41077213235755
Underlying,All,Opioids,Male,AUS,Allages,707,2014,11679392,6.053397300133431,5.615353223982065,6.5165365234280594,60.53397300133432,56.15353223982065,65.1653652342806
Underlying,All,Opioids,Male,AUS,15-64,744,2015,7870954,9.452475519485947,8.78537307929716,10.156803931444577,94.52475519485947,87.8537307929716,101.56803931444577
Underlying,All,Opioids,Male,AUS,Allages,774,2015,11840827,6.536705586527023,6.084248755157125,7.013901634330908,65.36705586527023,60.84248755157125,70.13901634330908
Underlying,All,Opioids,Male,AUS,15-64,714,2016,7947437,8.984028435834093,8.33704913554595,9.66788479882637,89.84028435834092,83.3704913554595,96.6788479882637
Underlying,All,Opioids,Male,AUS,Allages,744,2016,12011846,6.19388560259597,5.756756070631135,6.655408047307583,61.9388560259597,57.56756070631135,66.55408047307583
Underlying,All,Opioids,Female,AUS,15-64,205,1997,6101794,3.3596676649523074,2.915476946934012,3.8524015807590226,33.596676649523076,29.15476946934012,38.524015807590224
Underlying,All,Opioids,Female,AUS,Allages,215,1997,9266860,2.3200954800223594,2.020315794156042,2.651821767117516,23.200954800223595,20.20315794156042,26.51821767117516
Underlying,All,Opioids,Female,AUS,15-64,208,1998,6174843,3.3685066972552984,2.926256236798069,3.8587183400617735,33.68506697255298,29.262562367980692,38.58718340061773
Underlying,All,Opioids,Female,AUS,Allages,223,1998,9364441,2.381348763903793,2.079033305741995,2.715265346919036,23.81348763903793,20.79033305741995,27.152653469190362
Underlying,All,Opioids,Female,AUS,15-64,296,1999,6254708,4.732435151249267,4.208612179789296,5.303434765211993,47.32435151249267,42.08612179789296,53.034347652119926
Underlying,All,Opioids,Female,AUS,Allages,307,1999,9472155,3.2410787196788906,2.888628780601582,3.6246700761048105,32.4107871967889,28.88628780601582,36.2467007610481
Underlying,All,Opioids,Female,AUS,15-64,247,2e3,6340314,3.8957061117162337,3.4249814072542306,4.4130545001708805,38.95706111716234,34.24981407254231,44.1305450017088
Underlying,All,Opioids,Female,AUS,Allages,259,2e3,9585337,2.702043757042658,2.3829619341368597,3.0519501219770424,27.02043757042658,23.8296193413686,30.519501219770426
Underlying,All,Opioids,Female,AUS,15-64,137,2001,6433512,2.1294745389454466,1.7878342987301146,2.5173871557894065,21.294745389454466,17.878342987301146,25.173871557894067
Underlying,All,Opioids,Female,AUS,Allages,150,2001,9712875,1.5443419173004904,1.3070914742467927,1.812204586304235,15.443419173004905,13.070914742467927,18.122045863042352
Underlying,All,Opioids,Female,AUS,15-64,132,2002,6517098,2.025441385107298,1.6946700536272579,2.4019150618693383,20.25441385107298,16.94670053627258,24.019150618693384
Underlying,All,Opioids,Female,AUS,Allages,141,2002,9819727,1.43588513204084,1.2086674789782856,1.6934068363164085,14.358851320408398,12.086674789782856,16.934068363164087
Underlying,All,Opioids,Female,AUS,15-64,121,2003,6607223,1.8313291378238634,1.5195883571698123,2.1882044974492727,18.313291378238635,15.195883571698124,21.88204497449273
Underlying,All,Opioids,Female,AUS,Allages,130,2003,9933140,1.3087503045361286,1.0934574411729856,1.5540347113395439,13.087503045361286,10.934574411729855,15.540347113395438
Underlying,All,Opioids,Female,AUS,15-64,106,2004,6686902,1.5851884774145037,1.297822734666385,1.9172399121016073,15.851884774145038,12.97822734666385,19.172399121016074
Underlying,All,Opioids,Female,AUS,Allages,115,2004,10036771,1.1457868272574914,0.9459645357889119,1.375343861412161,11.457868272574913,9.45964535788912,13.75343861412161
Underlying,All,Opioids,Female,AUS,15-64,120,2005,6778408,1.770327191871602,1.4677771759171727,2.116877183285648,17.70327191871602,14.677771759171726,21.168771832856482
Underlying,All,Opioids,Female,AUS,Allages,136,2005,10157211,1.33895022954628,1.1233838010515635,1.5838282256105434,13.389502295462801,11.233838010515635,15.838282256105433
Underlying,All,Opioids,Female,AUS,15-64,127,2006,6878880,1.8462307817551695,1.5391194156329697,2.1966643564247246,18.462307817551697,15.391194156329696,21.966643564247246
Underlying,All,Opioids,Female,AUS,Allages,141,2006,10291542,1.370057081825056,1.15325620566335,1.6157727221596934,13.70057081825056,11.5325620566335,16.157727221596932
Underlying,All,Opioids,Female,AUS,15-64,184,2007,7004854,2.626749965095632,2.2609066910130395,3.034931883686859,26.26749965095632,22.609066910130394,30.34931883686859
Underlying,All,Opioids,Female,AUS,Allages,209,2007,10473986,1.9954198907655594,1.7340469423717786,2.285066414626382,19.954198907655595,17.340469423717785,22.85066414626382
Underlying,All,Opioids,Female,AUS,15-64,202,2008,7148826,2.825638783207201,2.4493891789120816,3.243328667435293,28.256387832072008,24.493891789120816,32.43328667435293
Underlying,All,Opioids,Female,AUS,Allages,223,2008,10677154,2.088571542566493,1.8234245500866497,2.38143442911546,20.88571542566493,18.234245500866496,23.8143442911546
Underlying,All,Opioids,Female,AUS,15-64,253,2009,7293343,3.4689167916550754,3.0546013622465815,3.9237533417801274,34.68916791655075,30.546013622465814,39.237533417801274
Underlying,All,Opioids,Female,AUS,Allages,277,2009,10890856,2.5434180747592294,2.252687303339822,2.8612602327511856,25.434180747592293,22.52687303339822,28.612602327511855
Underlying,All,Opioids,Female,AUS,15-64,247,2010,7399746,3.3379524107989655,2.934622021641513,3.7812313058037987,33.37952410798965,29.34622021641513,37.81231305803799
Underlying,All,Opioids,Female,AUS,Allages,270,2010,11063919,2.440364937595801,2.157932322430959,2.7494917709328397,24.40364937595801,21.57932322430959,27.494917709328398
Underlying,All,Opioids,Female,AUS,15-64,246,2011,7492143,3.28343973146268,2.8859168699237965,3.7204201458205666,32.8343973146268,28.859168699237966,37.20420145820567
